Year,State Name,Dist Name,Dist Code_Irrigation,Dist Code_Yield,Dist Code_Efficiency,State Code_Irrigation,State Code_Yield,State Code_Efficiency
2011,Chhattisgarh,Durg,1,1,0.001,14,14,0.014
2011,Chhattisgarh,Bastar,2,2,0.002,14,14,0.014
2011,Chhattisgarh,Raipur,3,3,0.003,14,14,0.014
2011,Chhattisgarh,Bilaspur,4,4,0.004,14,14,0.014
2011,Chhattisgarh,Raigarh,5,5,0.005,14,14,0.014
2011,Chhattisgarh,Surguja,6,6,0.006,14,14,0.014
2011,Madhya Pradesh,Jabalpur,7,7,0.007,6,6,0.006
2011,Madhya Pradesh,Balaghat,8,8,0.008,6,6,0.006
2011,Madhya Pradesh,Chhindwara,9,9,0.009,6,6,0.006
2011,Madhya Pradesh,Narsinghpur,10,10,0.01,6,6,0.006
2011,Madhya Pradesh,Seoni / Shivani,11,11,0.011,6,6,0.006
2011,Madhya Pradesh,Mandla,12,12,0.012,6,6,0.006
2011,Madhya Pradesh,Sagar,13,13,0.013,6,6,0.006
2011,Madhya Pradesh,Damoh,14,14,0.014,6,6,0.006
2011,Madhya Pradesh,Tikamgarh,15,15,0.015,6,6,0.006
2011,Madhya Pradesh,Chhatarpur,16,16,0.016,6,6,0.006
2011,Madhya Pradesh,Panna,17,17,0.017,6,6,0.006
2011,Madhya Pradesh,Rewa,18,18,0.018,6,6,0.006
2011,Madhya Pradesh,Sidhi,19,19,0.019,6,6,0.006
2011,Madhya Pradesh,Satna,20,20,0.02,6,6,0.006
2011,Madhya Pradesh,Shahdol,21,21,0.021,6,6,0.006
2011,Madhya Pradesh,Gwalior,22,22,0.022,6,6,0.006
2011,Madhya Pradesh,Shivpuri,23,23,0.023,6,6,0.006
2011,Madhya Pradesh,Guna,24,24,0.024,6,6,0.006
2011,Madhya Pradesh,Datia,25,25,0.025,6,6,0.006
2011,Madhya Pradesh,Morena,26,26,0.026,6,6,0.006
2011,Madhya Pradesh,Bhind,27,27,0.027,6,6,0.006
2011,Madhya Pradesh,Indore,28,28,0.028,6,6,0.006
2011,Madhya Pradesh,Ratlam,29,29,0.029,6,6,0.006
2011,Madhya Pradesh,Ujjain,30,30,0.03,6,6,0.006
2011,Madhya Pradesh,Mandsaur,31,31,0.031,6,6,0.006
2011,Madhya Pradesh,Dewas,32,32,0.032,6,6,0.006
2011,Madhya Pradesh,Dhar,33,33,0.033,6,6,0.006
2011,Madhya Pradesh,Jhabua,34,34,0.034,6,6,0.006
2011,Madhya Pradesh,Sehore,37,37,0.037,6,6,0.006
2011,Madhya Pradesh,Raisen,38,38,0.038,6,6,0.006
2011,Madhya Pradesh,Vidisha,39,39,0.039,6,6,0.006
2011,Madhya Pradesh,Betul,40,40,0.04,6,6,0.006
2011,Madhya Pradesh,Rajgarh,41,41,0.041,6,6,0.006
