State Name,Dist Name,Total Irrigation,ANNUAL RAINFALL (Millimeters)
Andhra Pradesh,Ananthapur,217.07889999999998,550.018
Andhra Pradesh,Chittoor,234.82150000000001,936.916
Andhra Pradesh,East Godavari,489.58050000000003,1130.3239999999998
Andhra Pradesh,Guntur,541.3511,893.082
Andhra Pradesh,Kadapa YSR,209.26489999999998,692.3960000000001
Andhra Pradesh,Krishna,399.3754,997.846
Andhra Pradesh,Kurnool,366.62960000000004,658.1519999999999
Andhra Pradesh,S.P.S. Nellore,401.398,1061.272
Andhra Pradesh,Srikakulam,351.2085,1129.642
Andhra Pradesh,Visakhapatnam,273.7036,1119.65
Andhra Pradesh,West Godavari,569.4993999999999,1088.758
Assam,Cachar,625.3429,2954.0125000000003
Assam,Darrang,670.4717,1920.7204545454545
Assam,Dibrugarh,622.7434000000001,2314.0729166666665
Assam,Goalpara,692.2782,2727.2844444444445
Assam,Kamrup,722.3107,1980.2697674418605
Assam,Karbi Anglong,645.499,1338.7729729729729
Assam,Lakhimpur,638.5723,2765.0653061224493
Assam,Nagaon,686.7214,1537.3638297872342
Bihar,Bhagalpur,1121.4852999999998,1175.8833333333334
Bihar,Champaran,1560.9885,1330.604761904762
Bihar,Darbhanga,1377.0317,1047.882
Bihar,Gaya,1574.4939,973.058
Bihar,Mungair,1289.2370999999998,1103.458695652174
Bihar,Muzaffarpur,1406.0942,1175.22
Bihar,Patna,1261.3876999999998,1006.898
Bihar,Saharsa,1183.5342,1170.7340425531916
Bihar,Saran,1245.6486,997.16
Bihar,Shahabad (now part of Bhojpur district),1826.0055,722.65
Chhattisgarh,Bastar,67.88919999999999,1434.1673913043478
Chhattisgarh,Bilaspur,488.3054,1204.1978260869564
Chhattisgarh,Durg,740.1093,1110.3955555555556
Chhattisgarh,Raigarh,95.07110000000002,1273.5326086956522
Chhattisgarh,Raipur,627.0177000000001,1141.1978260869564
Chhattisgarh,Surguja,77.6803,1219.4244444444444
Gujarat,Ahmedabad,469.2434,683.0083333333333
Gujarat,Amreli,331.9991,595.9916666666667
Gujarat,Banaskantha,540.9643,582.6083333333333
Gujarat,Bharuch,306.7482,763.8249999999999
Gujarat,Bhavnagar,383.0351,576.3312500000001
Gujarat,Dangs,153.34,2095.4979166666667
Gujarat,Jamnagar,421.29760000000005,561.6708333333333
Gujarat,Junagadh,545.4685000000001,820.591304347826
Gujarat,Kheda,604.4096,813.3270833333332
Gujarat,Rajkot,537.7544,572.25
Gujarat,Sabarkantha,469.06980000000004,810.8937500000001
Gujarat,Surat,396.42870000000005,1332.5395833333334
Gujarat,Surendranagar,459.0368,511.6145833333333
Gujarat,Vadodara / Baroda,427.11710000000005,944.6541666666668
Gujarat,Valsad,288.686,1999.7291666666667
Haryana,Ambala,610.6314,1059.3339999999998
Haryana,Gurgaon,614.3652,543.882
Haryana,Hissar,1961.7144,376.078
Haryana,Jind,697.7389,449.73111111111115
Haryana,Karnal,1317.5955,597.826
Haryana,Mahendragarh / Narnaul,475.53960000000006,466.5183673469388
Haryana,Rohtak,903.0778,519.1102040816327
Himachal Pradesh,Bilashpur,651.7078,1181.872
Himachal Pradesh,Chamba,652.2259999999999,1404.0179999999998
Himachal Pradesh,Kangra,751.136,1908.306
