State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters),LENGTH OF GROWING PERIOD DAYS (Number)
Andhra Pradesh,Ananthapur,1.604,2.5,6.608,17.238,50.843999999999994,51.216,61.773999999999994,76.354,128.964,108.352,38.21,6.354,550.018,120
Andhra Pradesh,Chittoor,7.968000000000001,8.82,9.976,21.074,60.26,68.28399999999999,99.49600000000001,111.44200000000001,136.822,173.23,170.95,68.822,936.916,164
Andhra Pradesh,East Godavari,6.416,9.312000000000001,10.47,22.918000000000003,63.662,129.58,196.002,199.454,182.63,201.87599999999998,93.46799999999999,14.92,1130.3239999999998,229
Andhra Pradesh,Guntur,6.95,8.948,9.328000000000001,12.496000000000002,50.63,90.25399999999999,151.782,159.976,151.832,150.066,84.414,16.522000000000002,893.082,164
Andhra Pradesh,Kadapa YSR,1.956,3.31,6.202000000000001,14.148,41.852,63.548,89.838,106.37200000000001,116.852,135.56799999999998,89.94,22.805999999999997,692.3960000000001,165
Andhra Pradesh,Krishna,6.084,9.226,10.405999999999999,14.386,49.658,112.292,193.29,190.72,160.696,161.658,74.156,15.294,997.846,185
Andhra Pradesh,Kurnool,2.156,2.07,7.402,16.12,41.542,78.138,109.352,124.67,135.49200000000002,109.238,27.464000000000002,4.482,658.1519999999999,148
Andhra Pradesh,S.P.S. Nellore,17.68,13.283999999999999,7.086,12.017999999999999,42.263999999999996,46.623999999999995,84.46600000000001,91.348,102.538,261.628,288.188,94.182,1061.272,134
Andhra Pradesh,Srikakulam,7.968,13.677999999999999,16.16,29.144000000000002,70.16199999999999,149.04,191.98,191.69400000000002,197.748,185.76,69.372,7.021999999999999,1129.642,185
Andhra Pradesh,Visakhapatnam,7.696000000000001,12.572000000000001,17.17,41.438,88.63799999999999,135.67600000000002,165.408,175.78799999999998,191.08599999999998,195.46,79.23,9.61,1119.65,171
Andhra Pradesh,West Godavari,6.462000000000001,8.338,10.265999999999998,17.736,55.071999999999996,121.396,220.204,225.688,171.53599999999997,167.65200000000002,71.028,13.566,1088.758,210
Assam,Cachar,11.757142857142858,50.487755102040815,139.37142857142857,290.4122448979592,388.6795918367347,520.3224489795919,503.9612244897959,444.46938775510205,332.4510204081633,166.27551020408163,33.03265306122449,12.516326530612243,2954.0125000000003,-1
Assam,Darrang,12.15111111111111,26.395555555555553,49.30888888888889,167.59555555555556,275.52222222222224,380.3333333333333,364.2,269.07954545454544,221.4227272727273,105.07045454545455,20.575,8.25909090909091,1920.7204545454545,-1
Assam,Dibrugarh,23.504166666666666,49.199999999999996,97.7,219.67291666666665,265.23541666666665,366.9375,487.28541666666666,383.41249999999997,280.37916666666666,112.25416666666666,16.150000000000002,12.206249999999999,2314.0729166666665,-1
Assam,Goalpara,12.258695652173913,25.85217391304348,55.26086956521739,194.8869565217391,348.09565217391304,548.3739130434783,590.6844444444445,401.4111111111111,379.5888888888889,127.49347826086957,18.74,4.657777777777778,2727.2844444444445,-1
Assam,Kamrup,13.944186046511629,28.690697674418605,58.51395348837209,197.2674418604651,273.253488372093,371.4813953488372,389.54418604651164,298.2697674418605,211.2860465116279,116.3953488372093,13.390476190476189,7.954761904761905,1980.2697674418605,-1
Assam,Karbi Anglong,9.3,30.743243243243242,47.28378378378378,94.4054054054054,142.84324324324325,213.1324324324324,228.04054054054055,224.1162162162162,174.5638888888889,151.62972972972975,23.15,5.072222222222222,1338.7729729729729,-1
Assam,Lakhimpur,28.477551020408164,56.23877551020408,83.8795918367347,206.03469387755104,318.89183673469387,515.8244897959185,590.6734693877551,451.03877551020406,349.6938775510204,129.65510204081633,19.454166666666666,15.9375,2765.0653061224493,-1
Assam,Nagaon,13.460416666666667,24.462500000000002,44.893750000000004,122.16250000000001,166.76041666666666,263.76382978723404,284.28749999999997,259.6787234042553,205.17872340425532,116.82291666666667,20.0,8.208510638297872,1537.3638297872342,-1
Assam,North Cachar Hil / Dima hasao,13.4025,32.3775,121.1625,160.0675,245.48000000000002,390.67,286.5625,242.14615384615382,127.8078947368421,121.59,29.889743589743592,4.843589743589744,2127.9636363636364,-1
Assam,Sibsagar,18.10238095238095,44.785714285714285,68.46190476190476,183.94878048780487,222.5690476190476,287.07380952380953,380.5853658536585,331.4146341463415,220.94878048780487,93.68095238095238,20.758536585365853,7.070731707317073,1896.409756097561,-1
Bihar,Bhagalpur,12.69375,9.612499999999999,10.889583333333334,28.985416666666666,73.53541666666666,184.78958333333333,300.6791666666667,262.94374999999997,200.97083333333333,79.94166666666666,5.404166666666666,5.4375,1175.8833333333334,210
Bihar,Champaran,21.01904761904762,43.145,87.185,99.625,124.62,205.93809523809523,294.17619047619047,255.52857142857144,153.13809523809525,52.476190476190474,2.8,2.4523809523809526,1330.604761904762,244
Bihar,Darbhanga,13.538775510204081,26.840816326530614,23.10408163265306,53.53877551020408,66.56326530612245,148.372,270.03,230.088,157.00799999999998,55.83599999999999,3.5122448979591834,3.2551020408163267,1047.882,247
Bihar,Gaya,14.47,12.915999999999999,9.056000000000001,11.602,23.625999999999998,149.588,273.788,253.412,165.862,47.506,6.73,4.502,973.058,222
Bihar,Mungair,18.451111111111114,49.28888888888889,47.26521739130435,45.66304347826087,59.21777777777778,139.47608695652173,265.3478260869565,223.87391304347827,192.1717391304348,55.53695652173913,4.5456521739130435,5.3847826086956525,1103.458695652174,224
Bihar,Muzaffarpur,12.402000000000001,11.024000000000001,7.14,18.274,65.09,169.29,324.392,279.106,214.202,64.762,6.1,3.418,1175.22,240
Bihar,Patna,10.078,11.315999999999999,8.264,10.456,37.426,129.14,295.508,253.768,192.09,52.26,4.303999999999999,2.278,1006.898,224
Bihar,Purnea,7.686,9.234,11.422,42.184,113.428,266.6,435.314,333.346,281.55,100.21799999999999,6.254,6.216,1613.4479999999999,257
Bihar,Saharsa,18.14468085106383,54.48478260869565,60.108695652173914,54.560869565217395,65.84130434782608,146.4063829787234,288.70425531914896,239.97446808510637,185.23829787234044,54.329787234042556,5.691304347826088,2.4347826086956523,1170.7340425531916,230
Bihar,Saran,13.612,14.106,14.464,13.758,40.104,134.79,277.298,240.792,182.19400000000002,57.821999999999996,5.28,2.9419999999999997,997.16,224
Bihar,Shahabad (now part of Bhojpur district),4.0,6.45,6.675,2.275,14.15,108.375,158.07500000000002,196.2,135.5,90.94999999999999,0.0,0.0,722.65,208
Chhattisgarh,Bastar,8.273913043478261,7.336956521739131,14.81304347826087,33.660869565217396,41.59347826086957,217.02340425531915,378.3404255319149,394.94255319148937,235.66739130434783,74.68478260869566,15.454545454545455,6.853333333333334,1434.1673913043478,194
Chhattisgarh,Bilaspur,19.184782608695652,16.206521739130434,16.304347826086957,16.808888888888887,19.752173913043478,172.76382978723404,338.97021276595746,339.29787234042556,192.1021739130435,48.94130434782609,10.777272727272727,9.591111111111111,1204.1978260869564,208
Chhattisgarh,Durg,6.310869565217391,5.323913043478261,8.20217391304348,9.710869565217392,18.030434782608694,181.40425531914894,325.01521739130436,313.8108695652174,180.9711111111111,47.44565217391305,6.293181818181818,3.6799999999999997,1110.3955555555556,164
Chhattisgarh,Raigarh,14.26086956521739,12.056521739130435,10.789130434782608,11.637777777777776,21.87391304347826,191.68936170212766,369.52127659574467,372.15319148936175,211.6108695652174,44.74347826086956,8.593333333333334,8.364444444444445,1273.5326086956522,201
Chhattisgarh,Raipur,8.321739130434782,9.282608695652174,10.221739130434782,12.628888888888888,18.156521739130437,181.99148936170212,332.73829787234047,319.34255319148934,185.92826086956524,45.63260869565217,7.840909090909091,4.644444444444445,1141.1978260869564,201
Chhattisgarh,Surguja,16.504347826086956,14.034782608695652,9.56304347826087,10.324444444444445,10.902173913043478,186.67234042553193,360.20652173913044,351.1586956521739,202.6130434782609,43.017391304347825,9.948888888888888,7.248888888888889,1219.4244444444444,201
Gujarat,Ahmedabad,0.46249999999999997,0.27499999999999997,0.6729166666666666,0.8937499999999999,5.470833333333334,104.98541666666667,237.37708333333333,204.30208333333334,104.07916666666667,16.4875,6.3,1.7125000000000001,683.0083333333333,178
Gujarat,Amreli,0.2020833333333333,0.024999999999999998,1.3166666666666667,1.3083333333333333,1.6125,128.50625,190.9645833333333,124.14166666666667,111.40416666666665,23.216666666666665,12.775,0.5,595.9916666666667,150
Gujarat,Banaskantha,0.8937499999999999,1.1145833333333333,1.8291666666666668,1.5270833333333333,3.3666666666666667,64.39166666666667,222.7541666666667,175.97916666666666,89.78333333333335,14.614583333333334,5.320833333333333,1.0208333333333333,582.6083333333333,120
Gujarat,Bharuch,0.09166666666666667,0.04791666666666666,0.7208333333333333,0.14375000000000002,3.060416666666667,146.42499999999998,261.3625,194.39791666666667,135.21666666666667,14.472916666666668,6.991666666666667,0.9104166666666668,763.8249999999999,201
Gujarat,Bhavnagar,0.44166666666666665,0.05416666666666667,1.2604166666666667,1.2270833333333333,3.11875,125.69375000000001,178.10833333333335,134.32708333333332,100.88125000000001,20.258333333333333,10.085416666666665,0.88125,576.3312500000001,180
Gujarat,Dangs,2.183333333333333,0.40208333333333335,0.6916666666666668,1.9416666666666667,8.270833333333334,306.04583333333335,722.5333333333333,621.5104166666666,355.7791666666667,68.89375,5.956250000000001,1.3020833333333333,2095.4979166666667,171
Gujarat,Jamnagar,0.4875,0.61875,0.75,0.19791666666666666,1.6145833333333333,102.40833333333335,211.79583333333335,143.56458333333333,75.59791666666666,16.060416666666665,7.90625,0.6687500000000001,561.6708333333333,97
Gujarat,Junagadh,0.2391304347826087,0.28695652173913044,0.6326086956521739,0.2391304347826087,2.182608695652174,186.1282608695652,298.3826086956522,183.3608695652174,108.77608695652174,27.87391304347826,11.830434782608696,0.6652173913043479,820.591304347826,118
Gujarat,Kheda,1.08125,0.17708333333333334,0.9375,0.6812499999999999,5.2,109.21041666666667,290.96250000000003,258.8625,122.11458333333333,13.822916666666666,8.547916666666667,1.73125,813.3270833333332,178
Gujarat,Kutch,0.6729166666666666,0.5979166666666667,1.3520833333333335,0.2604166666666667,3.6458333333333335,51.78541666666666,148.61458333333334,102.33958333333334,51.85,10.702083333333334,6.4375,1.3270833333333334,379.5833333333333,80
Gujarat,Mehsana,0.725,0.7229166666666668,0.8312499999999999,0.8729166666666667,4.529166666666667,77.45,250.43125,218.16666666666666,103.13958333333333,15.091666666666667,4.658333333333333,1.7874999999999999,678.4083333333333,150
