"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"1","2011","14","Chhattisgarh","Durg","338.588","28.442","0.0","0.0","0.0","0.0","0.41","0.0","0.1","79.586","0.02","1.014","80.627","0.014","0.03","0.01","8.702","0.08","21.527","-1.0"
"1","2012","14","Chhattisgarh","Durg","346.117","28.287","0.0","0.01","0.01","0.0","0.42","0.0","0.14","91.011","0.0","1.68","92.681","0.014","0.0","0.01","13.036","0.1","22.204","-1.0"
"1","2013","14","Chhattisgarh","Durg","359.045","26.273","0.0","0.0","0.0","0.0","0.62","0.0","0.13","109.006","0.32","0.956","110.29","0.014","0.01","0.014","11.542","0.04","23.253","-1.0"
"1","2014","14","Chhattisgarh","Durg","372.725","28.773","0.0","0.0","0.0","0.0","0.98","0.0","0.11","103.121","0.02","1.536","104.667","0.014","0.02","0.0","14.38","0.03","23.958","-1.0"
"1","2015","14","Chhattisgarh","Durg","361.631","32.704","0.0","0.01","0.01","0.0","2.26","0.0","0.03","106.756","0.0","1.355","108.121","0.194","0.09","0.45","17.041","0.04","27.731","0.169"
"1","2016","14","Chhattisgarh","Durg","396.554","36.094","0.01","0.0","0.02","0.0","0.76","0.0","0.01","112.727","0.03","1.771","114.539","0.021","0.01","0.0","17.503","0.06","28.539","0.049"
"1","2017","14","Chhattisgarh","Durg","352.733","38.694","0.001","0.002","0.003","0.005","1.473","0.0","0.0","171.597","0.042","2.126","173.765","0.067","0.017","0.038","19.82","0.234","28.992","0.039"
"1","2018","14","Chhattisgarh","Durg","416.819","39.464","0.012","0.017","0.029","0.003","3.768","0.0","0.0","170.162","0.102","1.742","172.007","0.038","0.084","0.035","26.769","1.0","34.598","0.049"
"1","2019","14","Chhattisgarh","Durg","437.087","46.479","0.003","0.01","0.013","0.003","3.423","0.005","0.038","161.421","0.095","1.029","162.545","0.015","0.009","0.02","16.858","1.739","25.942","0.103"
"1","2020","14","Chhattisgarh","Durg","507.292","92.099","0.013","0.002","0.015","0.0","2.563","0.0","0.049","134.895","0.152","2.03","137.077","0.016","0.031","0.021","17.36","2.525","27.66","0.104"
"2","2011","14","Chhattisgarh","Bastar","27.09","1.09","0.0","0.0","0.0","0.0","7.37","0.0","0.0","0.1","0.0","0.27","0.38","0.0","0.0","0.0","0.75","0.0","3.89","-1.0"
"2","2012","14","Chhattisgarh","Bastar","28.22","1.07","0.0","0.0","0.0","0.0","8.1","0.0","0.0","0.11","0.0","0.22","0.33","0.0","0.0","0.0","0.54","0.0","3.8","-1.0"
"2","2013","14","Chhattisgarh","Bastar","29.8","0.88","0.0","0.0","0.0","0.0","8.72","0.0","0.0","0.11","0.0","0.27","0.37","0.0","0.0","0.0","0.73","0.0","5.98","-1.0"
"2","2014","14","Chhattisgarh","Bastar","31.07","0.73","0.0","0.0","0.0","0.0","8.93","0.0","0.0","0.13","0.0","0.26","0.39","0.0","0.0","0.0","0.73","0.0","6.05","-1.0"
"2","2015","14","Chhattisgarh","Bastar","32.58","0.74","0.0","0.0","0.0","0.0","8.75","0.0","0.0","0.17","0.0","0.29","0.45","0.0","0.0","0.0","0.78","0.0","6.18","0.0"
"2","2016","14","Chhattisgarh","Bastar","32.19","0.62","0.0","0.0","0.0","0.0","9.23","0.0","0.0","0.11","0.0","0.34","0.45","0.0","0.0","0.01","0.76","0.0","6.21","0.0"
"2","2017","14","Chhattisgarh","Bastar","32.078","1.191","0.0","0.0","0.0","0.0","10.145","0.0","0.0","0.339","0.0","0.378","0.717","0.002","0.0","0.008","0.616","0.0","5.989","0.0"
"2","2018","14","Chhattisgarh","Bastar","43.045","0.938","0.0","0.0","0.0","0.0","10.01","0.0","0.0","0.286","0.0","0.428","0.714","0.0","0.004","0.03","0.525","0.0","6.026","0.0"
"2","2019","14","Chhattisgarh","Bastar","39.02","0.817","0.0","0.0","0.0","0.0","14.523","0.0","0.0","0.258","0.0","0.577","0.835","0.003","0.005","0.083","0.363","0.0","5.323","0.003"
"2","2020","14","Chhattisgarh","Bastar","44.441","0.812","0.0","0.001","0.001","0.0","13.118","0.002","0.0","0.214","0.001","0.665","0.88","0.004","0.0","0.005","0.335","0.0","4.791","0.003"
"3","2011","14","Chhattisgarh","Raipur","514.09","9.0","0.0","0.0","0.0","0.0","1.02","0.0","0.0","6.17","0.0","1.46","7.63","0.59","0.01","0.0","0.25","0.0","11.4","-1.0"
"3","2012","14","Chhattisgarh","Raipur","563.44","8.29","0.09","0.0","0.09","0.0","2.57","0.0","0.0","4.76","0.0","1.26","6.01","0.78","0.04","0.0","0.42","0.0","10.91","-1.0"
